control,expected,observed,passed
exact_duplicate_v2,accepted,accepted,True
distinct_tolerance_v2,accepted,accepted,True
distinct_common_branch_v2,accepted,accepted,True
point_tie_only,blocked,blocked,True
missing_tie_lineage,blocked,blocked,True
wrong_tolerance_hash,blocked,blocked,True
reordered_pair_refs,blocked,blocked,True
tampered_coefficient,blocked,blocked,True
missing_competitor,blocked,blocked,True
unsupported_version,blocked,blocked,True
historical_v1_exact_duplicate,accepted,accepted,True
v2_deterministic_round_trip,accepted,accepted,True
geometry_free_distinct_pair_bound,accepted,accepted,True
bound_outcome_complete_dominance,complete_dominance,complete_dominance,True
bound_outcome_competitor_dominance,competitor_dominance,competitor_dominance,True
bound_outcome_mixed,mixed,mixed,True
bound_outcome_unresolved,unresolved,unresolved,True
