evidence_sha256,expected,fixture,observed,passed
486ce699526ad06c818555fb190af0eb100bb93b92a0252ad943e4123974fb18,retain,maximal,retain,True
9a50ee9b7b4dd4e711db6cf8c9b423298e2344b7d156064e1168c8af022a2760,exclude,dominated,exclude,True
fddbba8c2998fb154917078fa264e524e53580abe6b16f68f96b9e185d8c46f9,blocked,maximal_left,blocked,True
3774e886ac6b228ca00629507255c42e780090dff4fca6870a47e40417d80aef,blocked,maximal_right,blocked,True
d18893055c7d78655b7799849980f06e70c0d79672536a1e9a99a3aeef725f64,blocked,equality_to_dominance,blocked,True
bcee9448bf65d25cf61d1fc4a99571e73c5feb9695b0143d37c737844b19c841,retain,three_way,retain,True
e1ffb7fc464b9cc5d46040637b8cdf9106094656eeb3082fea6bb16f56bab84f,blocked,tolerance_only,blocked,True
b549c81cf9a38443798aac04b8048443c77c1126d801a6fa7d9e54e1b92c2c11,blocked,point_only,blocked,True
a610ccf17ad445390408ff713cd2cd08b50d05fecbaeb7d02d3e1a20ade46e13,blocked,tiny_dominance,blocked,True
7d5cad239cf3e445f2ddb29a698f0dc05edaa47dc44c93fe6e76fffb3bf5628d,blocked,unresolved,blocked,True
7522363c1e8292c4c676078629b53ba30a74acb91c69432cccbd45622341e066,blocked,onset_adjacent,blocked,True
ea88ff9d5853fd3385cdf59a924c594acc89db16454dfd8bf628a7b46d7847b0,blocked,switch_adjacent,blocked,True
b39398ca295529566ad54455b63e57eabc2c21cf9249753f5fa783c4d8a6d935,6,oscillatory,6,True
10b95600d867ccaa4a0298a3ca81150c4e4f76b2cdf7c51dd8f7b4668c2b5caa,exclude,duplicate_dominated,exclude,True
